01/01/2004,51.02423924,ND,34.3137748,ND,47.21711154,ND,56.911,ND,53.318,ND,63.99,ND,
01/02/2004,51.58418441,0.559945168,34.35378801,0.040013206,48.71410194,1.496990399,58.566,1.655,52.476,-0.842,64.264,0.274,
01/03/2004,49.48421487,-2.099969543,32.20317851,-2.150609495,45.12182068,-3.592281259,54.766,-3.8,52.55,0.074,63.029,-1.235,
01/04/2004,51.90523479,2.421019919,36.6242458,4.421067288,47.37268356,2.250862881,57.655,2.889,54.724,2.174,65.031,2.002,
01/05/2004,52.60435792,0.699123133,40.36793362,3.743687822,47.55868939,0.186005831,56.758,-0.897,54.252,-0.472,63.844,-1.187,
01/06/2004,52.91874003,0.314382113,38.97746388,-1.390469742,48.27349146,0.714802071,56.117,-0.641,54.173,-0.079,65.216,1.372,
01/07/2004,52.78086557,-0.137874462,40.29992719,1.322463308,48.72691541,0.453423944,56.769,0.652,55.309,1.136,63.858,-1.358,
01/08/2004,52.99606154,0.215195968,40.05328843,-0.246638761,49.67175222,0.944836818,55.941,-0.828,54.241,-1.068,63.555,-0.303,
01/09/2004,53.17249906,0.17643752,39.23351929,-0.819769139,50.09953738,0.427785157,57.849,1.908,55.416,1.175,63.844,0.289,
01/10/2004,52.77462496,-0.397874093,40.18707757,0.953558278,48.08251883,-2.017018549,56.012,-1.837,53.123,-2.293,63.781,-0.063,
01/11/2004,53.24962359,0.474998624,41.61005488,1.422977308,50.90770085,2.825182024,55.961,-0.051,55.63,2.507,63.689,-0.092,
01/12/2004,53.03622083,-0.213402755,41.51056367,-0.099491203,50.56315169,-0.34454916,55.854,-0.107,55.405,-0.225,62.074,-1.615,
01/01/2005,53.29456272,0.258341887,40.62331427,-0.887249401,51.53726244,0.974110742,56.425,0.571,55.14,-0.265,63.113,1.039,
01/02/2005,53.83172088,0.537158161,41.35737909,0.734064821,53.16692194,1.629659506,56.287,-0.138,55.008,-0.132,63.427,0.314,
01/03/2005,53.4594551,-0.372265777,41.90304142,0.545662326,51.50017383,-1.666748111,56.212,-0.075,55.342,0.334,62.517,-0.91,
01/04/2005,53.33283182,-0.126623284,43.43904929,1.536007876,51.11468797,-0.385485857,55.027,-1.185,56.338,0.996,62.48,-0.037,
01/05/2005,53.37157706,0.038745243,42.82293309,-0.616116203,51.34931588,0.234627903,55.14,0.113,55.618,-0.72,61.831,-0.649,
01/06/2005,53.08439149,-0.287185575,44.67900983,1.856076741,49.12275564,-2.226560241,52.92,-2.22,54.653,-0.965,62.409,0.578,
01/07/2005,52.83937076,-0.245020725,44.13312123,-0.545888598,51.24010836,2.117352729,53.931,1.011,54.636,-0.017,61.443,-0.966,
01/08/2005,52.64269526,-0.196675507,42.79969256,-1.333428677,51.87096219,0.63085382,52.624,-1.307,54.479,-0.157,60.287,-1.156,
01/09/2005,53.04866965,0.405974395,44.265692,1.465999445,51.7154551,-0.155507084,53.827,1.203,54.111,-0.368,61.805,1.518,
01/10/2005,54.15377503,1.105105383,45.27174112,1.006049123,51.82073183,0.105276729,53.897,0.07,55.023,0.912,62.607,0.802,
01/11/2005,54.00030984,-0.153465192,44.01894002,-1.2528011,53.68114016,1.860408331,54.779,0.882,56.341,1.318,62.801,0.194,
01/12/2005,54.57969068,0.579380838,44.94252912,0.923589099,54.05689288,0.375752719,55.077,0.298,56.338,-0.003,62.497,-0.304,
01/01/2006,55.12352418,0.543833498,41.90040987,-3.042119257,56.13345329,2.076560407,55.252,0.175,57.858,1.52,64.16,1.663,
01/02/2006,54.65098447,-0.472539712,47.69172116,5.791311295,54.42883413,-1.704619155,53.417,-1.835,56.438,-1.42,60.672,-3.488,
01/03/2006,55.32451027,0.673525804,47.06833646,-0.623384698,55.17666333,0.7478292,54.045,0.628,58.619,2.181,61.794,1.122,
01/04/2006,55.33555193,0.011041661,46.28740386,-0.780932599,54.09917164,-1.07749169,56.117,2.072,58.98,0.361,62.576,0.782,
01/05/2006,54.9510539,-0.384498033,48.31002377,2.022619905,53.20100839,-0.898163252,54.825,-1.292,57.434,-1.546,61.399,-1.177,
01/06/2006,55.26569485,0.314640949,46.1995556,-2.110468167,54.22276951,1.021761117,55.194,0.369,57.936,0.502,61.554,0.155,
01/07/2006,56.43692501,1.171230158,46.07767989,-0.121875709,53.81357286,-0.409196651,59.236,4.042,59.259,1.323,65.319,3.765,
01/08/2006,56.16994592,-0.266979085,51.10621233,5.028532437,52.81615242,-0.997420434,58.165,-1.071,55.637,-3.622,62.463,-2.856,
01/09/2006,56.84002371,0.670077793,51.83934233,0.733130003,53.23144456,0.415292141,58.187,0.022,57.372,1.735,63.943,1.48,
01/10/2006,56.02372909,-0.816294622,48.8748826,-2.964459736,53.87369245,0.642247886,57.712,-0.475,56.016,-1.356,62.361,-1.582,
01/11/2006,55.53293952,-0.490789577,49.5788424,0.703959797,52.62906053,-1.244631916,57.863,0.151,56.562,0.546,62.462,0.101,
01/12/2006,57.64655385,2.11361433,49.58492035,0.006077952,55.8472727,3.218212162,61.591,3.728,56.905,0.343,64.129,1.667,
01/01/2007,58.07929304,0.432739199,51.94454041,2.359620064,53.13657105,-2.71070165,60.167,-1.424,57.238,0.333,66.624,2.495,
01/02/2007,58.82702041,0.747727366,52.45940608,0.514865668,53.96477258,0.828201534,61.09,0.923,58.803,1.565,66.165,-0.459,
01/03/2007,58.38643714,-0.440583267,52.71858396,0.25917788,53.42118891,-0.543583674,61.004,-0.086,58.344,-0.459,66.398,0.233,
01/04/2007,58.23336478,-0.153072359,53.25423737,0.535653413,53.97967099,0.558482088,60.979,-0.025,58.396,0.052,65.615,-0.783,
01/05/2007,57.20836048,-1.025004302,50.51346166,-2.74077571,53.56748849,-0.412182505,59.656,-1.323,57.921,-0.475,65.402,-0.213,
01/06/2007,56.95090759,-0.257452892,50.61747357,0.104011913,53.03896074,-0.52852775,59.208,-0.448,56.783,-1.138,64.557,-0.845,
01/07/2007,56.62794042,-0.322967171,51.66752902,1.050055449,53.24870424,0.209743504,59.211,0.003,56.912,0.129,64.155,-0.402,
